
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
       RPM       VMPH       EFF      HP
      1000         8        0.81    0.0000
      2000        16        0.81    0.0020
      3000        24        0.81    0.0080
      4000        32        0.81    0.0200
      5000        40        0.81    0.0390
      6000        48        0.82    0.0670
      7000        56        0.84    0.1040
      8000        64        0.85    0.1540
      9000        72        0.86    0.2190
     10000        80        0.86    0.3000
     11000        88        0.87    0.3970
     12000        96        0.87    0.5210
     13000       108        0.88    0.5590
     13999       117        0.88    0.7000
     15000       125        0.89    0.8680
     16000       133        0.89    1.0640
     17000       142        0.90    1.3030
     18000       150        0.90    1.5920
     19000       158        0.89    1.9550
     22000       175        0.81    4.6620
 


           ========== 10x9 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.83    0.0000
      2000        17        0.83    0.0040
      3000        26        0.83    0.0120
      4000        34        0.83    0.0290
      5000        45        0.84    0.0490
      6000        54        0.86    0.0840
      7000        63        0.87    0.1320
      8000        72        0.87    0.1960
      9000        81        0.88    0.2790
     10000        90        0.88    0.3840
     11000        99        0.89    0.5130
     12000       108        0.89    0.6720
     13000       117        0.90    0.8630
     13999       126        0.90    1.0900
     15000       141        0.90    1.1470
     16000       150        0.90    1.4260
     17000       160        0.90    1.7590
     18000       169        0.90    2.1730
     19000       177        0.90    2.7260
 


           ========== 115x125N ==========

       RPM       VMPH       EFF      HP
      1000        12        0.87    0.0010
      2000        24        0.87    0.0080
      3000        37        0.87    0.0260
      4000        49        0.88    0.0610
      5000        62        0.89    0.1170
      6000        74        0.90    0.2010
      7000        90        0.91    0.2670
      8000       103        0.91    0.4000
      9000       116        0.92    0.5730
     10000       129        0.92    0.7960
     11000       142        0.93    1.0750
     12000       154        0.93    1.4210
     13000       167        0.93    1.8490
     15000       192        0.93    3.1060
     19000       233        0.78   10.9150
 


           ========== 115x4 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.59    0.0000
      2000         9        0.59    0.0030
      3000        13        0.59    0.0090
      4000        17        0.62    0.0210
      5000        21        0.65    0.0390
      6000        26        0.67    0.0660
      7000        31        0.69    0.0940
      8000        36        0.71    0.1380
      9000        40        0.72    0.1940
     10000        45        0.74    0.2630
     11000        50        0.75    0.3480
     12000        54        0.75    0.4570
     13000        59        0.76    0.5880
     13999        63        0.76    0.7460
     15000        68        0.76    0.9330
     16000        75        0.76    1.0520
     17000        80        0.76    1.3140
     18000        77        0.69    2.2610
     19000        82        0.61    3.2030
     20000        86        0.53    4.3140
     21000        84        0.46    5.6110
 


           ========== 115x6 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.71    0.0000
      2000        12        0.71    0.0040
      3000        18        0.71    0.0130
      4000        24        0.72    0.0310
      5000        31        0.75    0.0580
      6000        39        0.77    0.0880
      7000        45        0.78    0.1380
      8000        52        0.80    0.2050
      9000        58        0.81    0.2900
     10000        65        0.82    0.3960
     11000        71        0.83    0.5270
     12000        78        0.83    0.6880
     13000        88        0.83    0.7800
     13999        95        0.84    0.9940
     15000       101        0.84    1.2540
     16000       108        0.84    1.5770
     17000       110        0.80    2.4530
     19000       122        0.67    4.5660
 


           ========== 11x10 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.83    0.0010
      2000        19        0.83    0.0050
      3000        29        0.83    0.0160
      4000        39        0.84    0.0390
      5000        49        0.86    0.0740
      6000        59        0.87    0.1270
      7000        69        0.88    0.2010
      8000        79        0.88    0.2990
      9000        89        0.89    0.4250
     10000        99        0.89    0.5880
     11000       109        0.90    0.7900
     12000       124        0.90    0.8690
     13000       134        0.90    1.1260
     13999       144        0.90    1.4380
     15000       154        0.90    1.8180
     16000       164        0.91    2.2900
     17000       174        0.90    2.9380
 


           ========== 11x10E ==========

       RPM       VMPH       EFF      HP
      1000         9        0.84    0.0010
      2000        19        0.84    0.0050
      3000        29        0.84    0.0160
      4000        39        0.84    0.0370
      5000        49        0.85    0.0720
      6000        59        0.86    0.1220
      7000        69        0.87    0.1910
      8000        79        0.88    0.2840
      9000        93        0.89    0.3400
     10000       103        0.89    0.4720
     11000       113        0.90    0.6300
     12000       123        0.90    0.8230
     13000       134        0.91    1.0470
     13999       144        0.91    1.3360
     15000       154        0.91    1.6780
     16000       164        0.91    2.1030
     17000       174        0.91    2.6650
     21000       194        0.79    8.6170
 


           ========== 11x11 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.85    0.0010
      2000        21        0.85    0.0060
      3000        32        0.85    0.0190
      4000        43        0.86    0.0440
      5000        54        0.87    0.0840
      6000        64        0.88    0.1440
      7000        75        0.89    0.2290
      8000        86        0.90    0.3410
      9000        97        0.90    0.4860
     10000       107        0.90    0.6770
     11000       123        0.91    0.7620
     12000       134        0.91    0.9990
     13000       146        0.91    1.2920
     13999       157        0.91    1.6610
     15000       168        0.91    2.1070
     16000       178        0.91    2.6680
     17000       189        0.91    3.4280
 


           ========== 11x12 ==========

       RPM       VMPH       EFF      HP
      1000        11        0.87    0.0010
      2000        23        0.87    0.0060
      3000        35        0.87    0.0210
      4000        46        0.87    0.0490
      5000        58        0.89    0.0940
      6000        69        0.90    0.1600
      7000        84        0.90    0.2130
      8000        97        0.91    0.3160
      9000       109        0.91    0.4540
     10000       121        0.92    0.6270
     11000       133        0.92    0.8460
     12000       145        0.92    1.1130
     13000       157        0.92    1.4440
     13999       169        0.92    1.8510
     15000       181        0.92    2.3660
     16000       193        0.92    2.9640
     18000       216        0.87    5.4750
     19000       230        0.83    7.0130
 


           ========== 11x12E ==========

       RPM       VMPH       EFF      HP
      1000        10        0.80    0.0010
      2000        21        0.80    0.0090
      3000        30        0.80    0.0310
      4000        42        0.81    0.0690
      5000        53        0.83    0.1330
      6000        66        0.85    0.2050
      7000        77        0.86    0.3250
      8000        93        0.86    0.4270
      9000       104        0.87    0.6090
     10000       116        0.88    0.8390
     11000       128        0.88    1.1220
     12000       139        0.89    1.4700
     13000       151        0.89    1.8980
     14000       169        0.89    2.0430
     15000       181        0.89    2.5840
     16000       193        0.89    3.2530
 


           ========== 11x12W ==========

       RPM       VMPH       EFF      HP
      1000        11        0.85    0.0010
      2000        22        0.85    0.0070
      3000        34        0.85    0.0230
      4000        45        0.87    0.0530
      5000        57        0.88    0.1020
      6000        68        0.89    0.1750
      7000        79        0.89    0.2780
      8000        91        0.90    0.4150
      9000       106        0.90    0.4980
     10000       118        0.90    0.6890
     11000       130        0.91    0.9290
     12000       142        0.91    1.2260
     13000       154        0.91    1.5880
     13999       165        0.91    2.0270
     16000       189        0.90    3.2700
 


           ========== 11x13 ==========

       RPM       VMPH       EFF      HP
      1000        13        0.88    0.0010
      2000        26        0.88    0.0060
      3000        39        0.88    0.0190
      4000        52        0.89    0.0450
      5000        65        0.90    0.0870
      6000        78        0.91    0.1490
      7000        91        0.91    0.2370
      8000       104        0.92    0.3520
      9000       117        0.92    0.5060
     10000       130        0.93    0.7000
     11000       143        0.93    0.9470
     12000       156        0.93    1.2500
     13000       169        0.93    1.6240
     13999       182        0.93    2.0880
     15000       194        0.93    2.6690
     16000       207        0.92    3.4230
 


           ========== 11x14 ==========

       RPM       VMPH       EFF      HP
      1000        14        0.90    0.0010
      2000        28        0.90    0.0060
      3000        42        0.90    0.0200
      4000        56        0.90    0.0470
      5000        70        0.91    0.0910
      6000        84        0.92    0.1560
      7000        98        0.93    0.2490
      8000       112        0.93    0.3730
      9000       126        0.93    0.5370
     10000       140        0.94    0.7430
     11000       160        0.94    0.7920
     12000       175        0.94    1.0440
     13000       189        0.94    1.3670
     13999       204        0.94    1.7650
     15000       218        0.94    2.2750
     16000       232        0.94    2.9290
     17000       238        0.91    4.8030
     18000       261        0.87    5.8640
     19000       267        0.84    8.4280
 


           ========== 11x3 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.56    0.0000
      2000         7        0.56    0.0020
      3000        11        0.56    0.0060
      4000        15        0.57    0.0150
      5000        19        0.60    0.0270
      6000        22        0.62    0.0460
      7000        26        0.64    0.0700
      8000        30        0.66    0.1030
      9000        34        0.68    0.1440
     10000        38        0.69    0.1950
     11000        43        0.70    0.2380
     12000        47        0.72    0.3070
     13000        51        0.73    0.3880
     13999        55        0.73    0.4910
     15000        59        0.73    0.6120
     16000        63        0.74    0.7570
     17000        67        0.74    0.9330
     18000        70        0.72    1.1960
     19000        74        0.61    1.8040
     20000        68        0.52    3.2190
     21000        74        0.44    3.8190
     22000        72        0.37    5.3160
 


           ========== 11x38SF ==========

       RPM       VMPH       EFF      HP
      2000        10        0.62    0.0040
      3000        14        0.62    0.0120
      4000        19        0.65    0.0240
      5000        23        0.67    0.0460
      6000        28        0.69    0.0770
      7000        34        0.70    0.1200
      8000        39        0.72    0.1780
      9000        44        0.73    0.2540
     10000        49        0.74    0.3500
     11000        54        0.74    0.4750
     12000        61        0.74    0.5750
     13000        66        0.74    0.7500
     13999        72        0.74    0.9170
     15000        77        0.74    1.1810
     16000        79        0.72    1.5910
     17000        84        0.71    2.0310
     18000        79        0.66    2.9680
 


           ========== 11x4 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.64    0.0000
      2000         9        0.64    0.0020
      3000        14        0.64    0.0080
      4000        19        0.64    0.0180
      5000        24        0.67    0.0340
      6000        28        0.69    0.0570
      7000        33        0.71    0.0880
      8000        38        0.73    0.1300
      9000        43        0.74    0.1830
     10000        47        0.75    0.2490
     11000        55        0.76    0.2970
     12000        60        0.78    0.3840
     13000        65        0.79    0.4890
     13999        70        0.79    0.6190
     15000        74        0.79    0.7750
     16000        79        0.79    0.9630
     17000        84        0.79    1.1950
     18000        85        0.76    1.7690
     19000        90        0.64    2.7740
     20000        90        0.55    4.2050
     21000        94        0.48    4.9590
     22000        90        0.42    6.7720
 


           ========== 11x45EP ==========

       RPM       VMPH       EFF      HP
      1000         4        0.65    0.0000
      2000         9        0.65    0.0020
      3000        14        0.65    0.0070
      4000        19        0.65    0.0170
      5000        23        0.66    0.0330
      6000        28        0.68    0.0550
      7000        33        0.70    0.0850
      8000        38        0.72    0.1240
      9000        42        0.73    0.1750
     10000        47        0.74    0.2380
     11000        52        0.75    0.3160
     12000        57        0.76    0.4090
     13000        64        0.77    0.4680
     13999        69        0.78    0.5850
     15000        74        0.79    0.7240
     16000        79        0.80    0.8940
     17000        84        0.80    1.0990
     18000        89        0.79    1.3680
     19000        89        0.74    2.1020
     20000        94        0.67    2.8350
     21000        93        0.62    3.7120
     22000        97        0.56    4.3490
 


           ========== 11x45MR ==========

       RPM       VMPH       EFF      HP
      2000        10        0.67    0.0030
      3000        15        0.67    0.0090
      4000        20        0.67    0.0210
      5000        25        0.69    0.0400
